,name,link,HOF,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
142,Bill Walton,/players/w/waltobi01.html,True,Career,,,NBA,C,468,117,28.3,5.5,10.5,.521,0.0,0.0,.000,5.5,10.5,.521,.521,2.4,3.6,.660,2.4,8.2,10.5,3.4,0.8,2.2,2.7,2.8,13.3
143,Bobby Wanzer,/players/w/wanzebo01.html,True,Career,,,TOT,,568,,32.5,4.0,10.2,0.39299999999999996,,,,,,,,4.2,5.2,0.802,,,4.5,3.2,,,,2.2,12.2
144,Jerry West,/players/w/westje01.html,True,Career,,,NBA,PG,932,,39.2,9.7,20.4,0.474,,,,,,,,7.7,9.4,0.8140000000000001,1.0,2.8,5.8,6.7,2.6,0.7,,2.6,27.0
145,Paul Westphal,/players/w/westppa01.html,True,Career,,,NBA,SG,823.0,73.0,25.5,6.2,12.3,0.504,0.2,0.7,0.275,6.1,12.0,0.508,0.506,3.2,3.8,0.82,0.5,1.5,1.9,4.4,1.3,0.3,2.6,2.1,15.6
146,Jo Jo White,/players/w/whitejo01.html,True,Career,,,NBA,PG,837.0,,35.8,7.4,16.6,0.444,0.0,0.1,0.16699999999999998,7.4,16.6,0.444,0.444,2.5,3.0,0.8340000000000001,0.9,2.7,4.0,4.9,1.3,0.2,2.4,2.5,17.2
147,Lenny Wilkens,/players/w/wilkele01.html,True,Career,,,NBA,PG,1077.0,,35.3,5.7,13.3,0.43200000000000005,,,,,,,,5.0,6.5,0.774,0.8,2.0,4.7,6.7,1.3,0.2,,3.1,16.5
148,Jamaal Wilkes,/players/w/wilkeja01.html,True,Career,,,NBA,SF,828.0,245.0,32.9,7.5,15.1,0.499,0.0,0.1,0.135,7.5,15.0,0.501,0.5,2.6,3.5,0.759,2.0,4.2,6.2,2.5,1.3,0.3,2.1,2.8,17.7
149,Dominique Wilkins,/players/w/wilkido01.html,True,Career,,,NBA,SF,1074,995,35.5,9.3,20.1,.461,0.7,2.1,.319,8.6,18.0,.478,.478,5.6,6.9,.811,2.7,3.9,6.7,2.5,1.3,0.6,2.5,1.9,24.8
150,James Worthy,/players/w/worthja01.html,True,Career,,,NBA,PF,926,717,32.4,7.4,14.3,0.521,0.1,0.5,0.24100000000000002,7.3,13.7,0.532,0.525,2.6,3.4,0.769,1.7,3.4,5.1,3.0,1.1,0.7,2.0,2.1,17.6
151,George Yardley,/players/y/yardlge01.html,True,Career,,,NBA,SF,472.0,,33.4,6.8,16.0,0.42200000000000004,,,,,,,,5.7,7.3,0.78,,,8.9,1.7,,,,3.0,19.2
